file,week,realized_vol,forecast_low,forecast_high,forecast_mid,forecast_error
order_book_data_20260202_005159.csv,1,0.11,0.1,0.15,0.125,0.015
order_book_data_20260202_005159.csv,2,0.38,0.35,0.4,0.375,0.0050000000000000044
order_book_data_20260202_005159.csv,3,0.36,0.35,0.4,0.375,0.015000000000000013
order_book_data_20260202_005808.csv,1,0.11,0.1,0.15,0.125,0.015
order_book_data_20260202_005808.csv,2,0.36,0.32,0.37,0.345,0.015000000000000013
order_book_data_20260202_005808.csv,3,0.25,0.23,0.28,0.255,0.0050000000000000044
order_book_data_20260202_010421.csv,1,0.3,0.26,0.31,0.28500000000000003,0.014999999999999958
order_book_data_20260202_010421.csv,2,0.15,0.12,0.17,0.14500000000000002,0.004999999999999977
order_book_data_20260202_010421.csv,3,0.2,0.19,0.24,0.215,0.014999999999999986
order_book_data_20260202_011039.csv,1,0.24,0.23,0.28,0.255,0.015000000000000013
order_book_data_20260202_011039.csv,2,0.34,0.33,0.38,0.355,0.014999999999999958
order_book_data_20260202_011039.csv,3,0.28,0.27,0.32,0.29500000000000004,0.015000000000000013
order_book_data_20260202_012308.csv,1,0.35,0.34,0.39,0.365,0.015000000000000013
order_book_data_20260202_012308.csv,2,0.34,0.34,0.39,0.365,0.024999999999999967
order_book_data_20260202_012308.csv,3,0.37,0.36,0.41,0.385,0.015000000000000013
